category	score	size_bytes	mtime	sha256	source_path	snapshot_path	development_markers
scla	7	128655	2026-08-15T12:01:31.347348	6f60564fa0618cd0c51dcde957a74d2f22bc89cccf439f7d6b1aeea388f85929	/tmp/pystamps_stale_sitepackages_20260815_131853/pystamps/pipeline/stage6_sbas.py	files/scla/stage6_sbas__6f60564fa0.py	
scla	4	18179	2026-08-17T22:44:32	5312707d9bc095f49f191f125fd9cd868e65e4370a1a93f7537cf5c60c83f99e	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/development/legacy_v09/scripts/10r2_pystamps_sbas_predictor_audit.py	files/scla/10r2_pystamps_sbas_predictor_audit__5312707d9b.py	prototype
scla	2	19098	2026-08-15T12:01:31.343348	7ee19e604cbf18f3c6eb3d2c49ebb938d94a2628cca933c81678fa4163756b4d	/tmp/pystamps_stale_sitepackages_20260815_131853/pystamps/notebooks/diagnostics.py	files/scla/diagnostics__7ee19e604c.py	
scla	1	19099	2026-08-24T18:12:59.801358	c943160b85444c0cbc99482c9d0a8d01c39dbb6749c676f2b1d0275f4389bb97	/tmp/p15_5b3b_regenerate_missing_bases.py	files/scla/p15_5b3b_regenerate_missing_bases__c943160b85.py	P15,p15_,prototype
scla	1	26504	2026-08-12T10:48:41	ee22811de73930dabd8c477fe549debaf4667a8a3b77782d5891a28ccae46d9f	/tmp/v63/deramp_scn_audit_v6_3/deramp_scn_audit_v6_3.py	files/scla/deramp_scn_audit_v6_3__ee22811de7.py	
scn	18	31703	2026-08-24T19:51:03.335817	df55f1ac3aa54d7d767e8238d8dfd83d3d48c421c5c7108af8e2816fe6b54ef1	/tmp/p15_6b2_stage8_scn_production.py	files/scn/p15_6b2_stage8_scn_production__df55f1ac3a.py	P15,PASS_STAMPS,p15_
scn	9	24887	2026-08-24T19:46:43.863817	49806f2cf15a95d3ecda62609c4c2d33a61a44e4f6fe2c803a04958148f38f2e	/tmp/p15_6b1_exact_engine_benchmark.py	files/scn/p15_6b1_exact_engine_benchmark__49806f2cf1.py	P15,p15_
scn	7	19390	2026-08-24T19:39:09.483817	d6529e8b88e09a2d92f00e916707b97562d3748d9a353ecd54eb97b7d6a7b029	/tmp/p15_6b0_exact_xy_neighbor_census.py	files/scn/p15_6b0_exact_xy_neighbor_census__d6529e8b88.py	P15,p15_
scn	4	51949	2026-08-12T03:21:04	7a94391f3cfe8c1997d09695f075a83e1db272481483bdf5449ac910c793306c	/tmp/v64/robust_deramp_stability_v6_4/robust_deramp_stability_v6_4.py	files/scn/robust_deramp_stability_v6_4__7a94391f3c.py	
scn	3	51062	2026-08-15T12:01:31.355348	da5b056b83cb4e39a9284e7bf2f6f5aab09830b59ff994b5d96a638e8a266c8f	/tmp/pystamps_stale_sitepackages_20260815_131853/pystamps/prep/gamma_stage1.py	files/scn/gamma_stage1__da5b056b83.py	
scn	2	22646	2026-08-20T20:01:49	299c475651f1ae2157eb9de8732a72c84cb78caca58c0d1f2b75765e6625b30b	/tmp/pypsds_portable_v1_bundle_20260821_062314/source/tools/benchmark_exact_support_cache.py	files/scn/benchmark_exact_support_cache__299c475651.py	
scn	2	22622	2026-08-20T13:02:55	411bac595bc5151c8c90a5c0ceea3984c9e9aff4932770b7c4e823e98fdb2b6f	/tmp/pypsds_v1_production_naming_bundle_20260820_191551/source/tools/benchmark_exact_support_cache.py	files/scn/benchmark_exact_support_cache__411bac595b.py	
scn	2	51478	2026-08-15T12:01:31.291348	da8a3befa24c4cfdc5fc3598459b8f06b65d49d11fdd7e24bbe123350f25a36e	/tmp/pystamps_stale_sitepackages_20260815_131853/pystamps/grid_ifg_qc.py	files/scn/grid_ifg_qc__da8a3befa2.py	
